Серия;U;C;D;Высота;Масса
;6.3;47;6.3;12;0.8
;6.3;100;6.3;14;1
;6.3;220;10;14;2.8
;6.3;470;12;16;4
;6.3;1000;14;19;5.5
;6.3;2200;16;25;10
;6.3;4700;18;30;15
;6.3;10000;21;47;33
;16;33;6.3;12;0.8
;16;47;6.3;12;0.8
;16;100;6.3;14;1
;16;220;10;14;2.8
;16;470;12;16;4
;16;1000;14;24;7
;16;2200;16;30;12
;16;4700;18;45;23
;25;22;6.3;12;0.8
;25;47;8;12;1.2
;25;100;10;14;2.8
;25;220;12;16;4
;25;470;14;19;5.5
;25;1000;16;30;12
;25;2200;18;40;20
;25;4700;21;57;40
;40;22;6.3;14;1
;40;47;8;14;1.4
;40;100;10;16;3
;40;220;12;19;4.5
;40;470;14;24;7
;40;1000;18;30;15
;63;10;6.3;12;0.8
;63;22;8;12;1.2
;63;47;10;14;2.8
;63;100;10;19;3.3
;63;220;14;19;5.5
;63;470;16;30;12
;63;1000;18;40;20
;63;2200;21;57;40
;100;2.2;6.3;12;0.8
;100;3.3;6.3;12;0.8
;100;4.7;6.3;12;0.8
;100;10;8;14;1.4
;100;22;10;16;3
;100;47;12;19;4.5
;100;100;14;24;7
;100;220;18;30;15
;160;1;6.3;12;0.8
;160;2.2;6.3;14;1
;160;4.7;8;14;1.4
;160;10;10;19;3.3
;160;22;14;19;5.5
;160;47;16;25;10
;160;100;18;35;17
;200;22;14;19;5.5
;200;33;14;24;7
;200;47;16;25;10
;250;22;14;24;7
;250;47;18;30;15
;250;100;21;42;30
;315;10;14;24;7
;315;22;16;30;12
;315;47;18;40;20
А;16;100;8;12;1.2
А;16;220;10;12;2.4
Б;250;220;25;56;45
Б;350;100;25;56;45
Б;350;220;32;67;90
Б;350;330;32;87;130
