Поле системы;Свойство KiCad;Графа документа ЕСКД;Обязательность;Примечание
Наименование;Наименование;ПЭ: Наименование;обязательно;генерируется по шаблону класса; для приёмки 5 — своё наименование (О-2)
Стандарт (ТУ);Стандарт;ПЭ: Наименование (после марки);обязательно;ссылка на документ ТУ в системе (FR-4a)
Группа;Группа;ПЭ: раздел (Конденсаторы/Резисторы/...);обязательно;определяет группировку перечня
Тип;Тип;ПЭ: состав наименования;по классу;
Класс точности;Класс точности;ПЭ: состав наименования;по классу;
Значение;Value;ПЭ: состав наименования;по классу;номинал (10мк, 1к, ...)
Примечание;Примечание;ПЭ: Примечание;нет;
Исключён из ПЭ;Исключён из ПЭ;—;нет;признак; элемент не попадает в перечень
Подбирают при регулировании;Подбирают при регулировании;ПЭ: Примечание (*);нет;признак
Код ОКП;—;спецификация/закупка;по приёмке;хранится на значение приёмки (ОП п.1)
Приёмка;—;влияет на Наименование;обязательно;значение по умолчанию из детали, переопределяется в проекте (Р-9)
Datasheet;Datasheet;—;рекомендовано;URL на вложение ТУ/datasheet в системе
Статус;—;—;обязательно;жизненный цикл; контролируется при аудите проекта (FR-7)
