name;status;symbols;parts;footprints;errors;fixable;manual;residual_errors;created;skipped;error_text
A_УЗЛЫ ПЕЧАТНЫЕ;ГОТОВА;0;0;53;53;53;0;0;0;0;
B_JLWORLD;ГОТОВА;1;1;1;2;2;0;0;0;1;
B_SONITRON;ГОТОВА;2;2;2;4;4;1;0;0;2;
B_ИМПАКУСТИКА;ГОТОВА;26;26;13;41;41;4;0;0;26;
B_РК169;ГОТОВА;214;214;4;219;219;0;0;0;214;
C_AT;ОСТАТОК 52 ошибок;26;26;9;105;105;0;52;26;0;
C_ATC;ОСТАТОК 144 ошибок;833;833;23;1694;1694;13;144;833;0;
C_AVX;ГОТОВА;61;61;17;79;79;0;0;61;0;
C_B32540;ГОТОВА;171;171;4;342;342;0;0;171;0;
C_CE-AX;ГОТОВА;1;1;1;3;3;0;0;1;0;
C_CTC;ОСТАТОК 52 ошибок;26;26;4;95;95;0;52;26;0;
C_DE2;ГОТОВА;2;2;4;6;6;0;0;2;0;
C_DEB;ГОТОВА;4;4;3;7;7;0;0;4;0;
C_DLC70;ГОТОВА;383;383;10;489;489;0;0;383;0;
C_EHP;ГОТОВА;2;2;1;3;3;1;0;2;0;
C_EHR;ГОТОВА;1;1;1;2;2;0;0;1;0;
C_EPCOS;ГОТОВА;33;33;19;71;71;3;0;33;0;
C_ESG;ГОТОВА;4;4;10;17;17;0;0;4;0;
C_EXR;ГОТОВА;31;31;16;47;47;0;0;31;0;
C_GJM15;ГОТОВА;14;14;2;20;20;0;0;14;0;
C_GNM;ГОТОВА;1;1;1;3;3;0;0;1;0;
C_GR;ГОТОВА;7;7;5;12;12;0;0;7;0;
C_GR442Q;ГОТОВА;4;4;1;7;7;0;0;4;0;
C_GRM;ГОТОВА;54;54;3;71;71;0;0;54;0;
C_GRM15-GRP15;ГОТОВА;473;473;2;873;873;0;0;473;0;
C_GRM21;ГОТОВА;208;208;3;382;382;0;0;208;0;
C_GRM31;ГОТОВА;157;157;6;295;295;0;0;157;0;
C_GRM32;ГОТОВА;51;51;2;96;96;0;0;51;0;
C_GRM42-43;ГОТОВА;28;28;2;57;57;0;0;28;0;
C_GRM55;ГОТОВА;32;32;2;63;63;0;0;32;0;
C_HITANO;ГОТОВА;19;19;8;42;42;0;0;19;0;
C_JAMICON;ГОТОВА;1;1;1;2;2;1;0;1;0;
C_K10-42;ОСТАТОК 60 ошибок;30;30;1;121;121;0;60;30;0;
C_K10-43;ГОТОВА;752;752;12;1412;1412;0;0;752;0;
C_K10-47;ОСТАТОК 560 ошибок;280;280;11;1267;1267;0;560;280;0;
C_K10-47M;ОСТАТОК 2840 ошибок;1420;1420;28;4821;4821;0;2840;1420;0;
C_K10-50;ОСТАТОК 589 ошибок;568;568;6;1585;1585;0;589;568;0;
C_K10-57;ОСТАТОК 2518 ошибок;1259;1259;5;4878;4878;0;2518;1259;0;
C_K10-60;ОСТАТОК 72 ошибок;36;36;6;138;138;0;72;36;0;
C_K10-67;ГОТОВА;53;53;7;106;106;0;0;53;0;
C_K10-67_АДПК;ГОТОВА;35;35;6;35;35;0;0;35;0;
C_K10-69;ГОТОВА;67;67;9;102;102;0;0;67;0;
C_K15-13;ОСТАТОК 2 ошибок;1;1;1;4;4;0;2;1;0;
C_K15-20;ОСТАТОК 630 ошибок;210;210;7;962;962;0;630;210;0;
C_K15-33;ОСТАТОК 104 ошибок;53;53;1;157;157;0;104;53;0;
C_K15-33АДПК673516007;ОСТАТОК 356 ошибок;179;179;1;535;535;0;356;179;0;
C_K15-37;ОСТАТОК 138 ошибок;69;69;1;207;207;0;138;69;0;
C_K15-39;ОСТАТОК 508 ошибок;254;254;6;762;762;0;508;254;0;
C_K15-5;ОСТАТОК 8 ошибок;4;4;2;14;14;0;8;4;0;
C_K15-5ОЖ0460084;ОСТАТОК 142 ошибок;71;71;29;242;242;0;142;71;0;
C_K15У;ОСТАТОК 92 ошибок;46;46;15;169;169;0;92;46;0;
C_K50-29;ГОТОВА;56;56;17;73;73;27;0;56;0;
C_K50-38;ОСТАТОК 102 ошибок;51;51;8;161;161;17;102;51;0;
C_K10-79;ГОТОВА;876;876;12;1739;1738;0;0;876;0;
C_K10-43В-МОНОЛИТ;ГОТОВА;827;827;10;1661;1660;0;0;827;0;
C_GRM18;ГОТОВА;426;426;1;787;786;0;0;426;0;
C_K10-17;ОСТАТОК 2 ошибок;1531;1531;20;2323;2318;83;2;1531;0;
G_ЭЛЕМЕНТЫ;ОСТАТОК 1 ошибок;399;397;107;114;111;122;1;397;0;
D_STMICROELECTRONICS;ОСТАТОК 125 ошибок;611;611;430;1140;1122;299;125;611;0;
B_АКУСТИКА;ГОТОВА;43;43;17;90;86;3;0;43;0;
C_K10-73;ОСТАТОК 1980 ошибок;1035;1035;12;3635;3412;0;1980;1035;0;
C_K50-35;ГОТОВА;130;65;13;306;289;56;0;0;65;
B_ИМПРЕЗОНАТОРЫ;ГОТОВА;74;74;41;142;121;64;0;74;0;
B_РЕЗОНАТОРЫ;ОСТАТОК 96 ошибок;368;368;81;349;228;103;96;368;0;
A_ПРИЕМНИКИ;ГОТОВА;4;4;4;11;9;3;0;4;0;
ПИТАНИЕ;ОСТАТОК 275 ошибок;275;275;0;275;0;0;275;275;0;
